Item_Description;Amount;Traffic_Source;Session_Duration
Google Hoodie;124;Social Media;2758
Google Stickers;5;Referral;2979
YouTube Cap;15;Referral;2110
Google Hoodie;124;Referral;2122
Backpack;125;Paid Search;1130
Google Water Bottle;10;Paid Search;1899
Google Stickers;5;Direct;3149
Google Stickers;5;Direct;1367
Google Stickers;5;Social Media;1521
Google Stickers;5;Referral;1017
Android T-Shirt;20;Referral;132
Google Hoodie;124;Referral;2351
Notebook;20;Social Media;1076
Greeting Cards;6;Organic Search;639
Google Stickers;5;Social Media;1413
Google Stickers;5;Social Media;1104
Lanyard;6;Social Media;3258
Google Stickers;5;Referral;1227
Google Stickers;5;Referral;570
Android T-Shirt;20;Paid Search;1508
Google Stickers;5;Direct;931
Google Stickers;5;Paid Search;1088
Google Stickers;5;Direct;1560
Google Hoodie;124;Paid Search;3581
YouTube Cap;15;Referral;2945
Google Hoodie;124;Organic Search;3221
Backpack;125;Direct;2559
Android T-Shirt;20;Direct;3445
Google Stickers;5;Organic Search;2717
Google Stickers;5;Organic Search;3590
Android T-Shirt;20;Paid Search;1279
Google Stickers;5;Referral;1178
YouTube Cap;15;Social Media;2287
Google Stickers;5;Organic Search;3348
Android T-Shirt;20;Direct;1333
Google Stickers;5;Paid Search;604
Google Stickers;5;Direct;1457
Google Stickers;5;Referral;2364
Google Stickers;5;Direct;2292
Google Hoodie;124;Paid Search;1395
Google Stickers;5;Organic Search;1923
Google Stickers;5;Social Media;2776
Puffer Vest;115;Paid Search;461
Canvas Tote;18;Social Media;1423
Google Stickers;5;Referral;865
Canvas Tote;18;Social Media;2223
YouTube Cap;15;Direct;1461
Google Hoodie;124;Paid Search;178
Google Stickers;5;Referral;674
Greeting Cards;6;Paid Search;1071
Google Water Bottle;10;Direct;2321
Greeting Cards;6;Organic Search;912
Google Stickers;5;Direct;2085
Google Stickers;5;Referral;268
Google Stickers;5;Organic Search;3204
Google Stickers;5;Paid Search;180
Backpack;125;Direct;3378
Backpack;125;Paid Search;1112
Google Hoodie;124;Paid Search;523
Backpack;125;Organic Search;2006
Notebook;20;Social Media;1351
Canvas Tote;18;Direct;3570
Google Stickers;5;Organic Search;2040
Google Hoodie;124;Referral;346
Google Hoodie;124;Social Media;2851
Google Stickers;5;Referral;1811
Backpack;125;Referral;2165
Greeting Cards;6;Paid Search;804
Google Stickers;5;Referral;2933
Google Hoodie;124;Social Media;3230
Android T-Shirt;20;Social Media;3110
Google Stickers;5;Paid Search;1169
Google Hoodie;124;Organic Search;3345
Notebook;20;Organic Search;2384
Notebook;20;Referral;2910
Android T-Shirt;20;Referral;3316
Google Stickers;5;Paid Search;794
Backpack;125;Paid Search;1728
YouTube Cap;15;Organic Search;1755
Google Hoodie;124;Direct;3314
Google Stickers;5;Direct;229
Google Hoodie;124;Paid Search;1461
Lanyard;6;Direct;1941
Google Stickers;5;Referral;3560
Google Stickers;5;Referral;3114
Lanyard;6;Referral;383
Notebook;20;Organic Search;1411
Google Stickers;5;Paid Search;2124
Backpack;125;Organic Search;2938
Google Stickers;5;Organic Search;1292
Greeting Cards;6;Direct;895
Google Hoodie;124;Organic Search;3169
Google Stickers;5;Referral;562
Android T-Shirt;20;Paid Search;3204
Google Hoodie;124;Organic Search;143
Google Water Bottle;10;Social Media;3402
Notebook;20;Organic Search;3101
Android T-Shirt;20;Organic Search;2839
Backpack;125;Organic Search;2628
Google Stickers;5;Referral;2110
Google Hoodie;124;Organic Search;1939
Google Stickers;5;Direct;1676
Google Hoodie;124;Paid Search;3056
Google Hoodie;124;Social Media;1210
Google Stickers;5;Direct;2559
Puffer Vest;115;Organic Search;3402
Google Water Bottle;10;Paid Search;1433
Backpack;125;Referral;534
Google Stickers;5;Organic Search;1420
Greeting Cards;6;Organic Search;355
Lanyard;6;Organic Search;333
Puffer Vest;115;Paid Search;873
Google Hoodie;124;Paid Search;1956
Google Stickers;5;Organic Search;2839
Greeting Cards;6;Referral;3322
Google Stickers;5;Direct;3085
Google Stickers;5;Referral;1573
YouTube Cap;15;Paid Search;2292
Google Stickers;5;Social Media;538
Google Stickers;5;Paid Search;1322
Android T-Shirt;20;Direct;2332
Google Stickers;5;Direct;882
Puffer Vest;115;Direct;585
YouTube Cap;15;Direct;1016
Google Hoodie;124;Social Media;2787
Google Stickers;5;Paid Search;1727
YouTube Cap;15;Direct;2543
Canvas Tote;18;Referral;1555
Canvas Tote;18;Organic Search;453
Google Stickers;5;Referral;3264
Canvas Tote;18;Referral;2799
YouTube Cap;15;Organic Search;3593
Google Stickers;5;Social Media;584
Android T-Shirt;20;Organic Search;2973
Backpack;125;Organic Search;3465
Google Hoodie;124;Direct;2810
Notebook;20;Social Media;2429
Backpack;125;Direct;3555
Google Hoodie;124;Organic Search;2144
Google Water Bottle;10;Social Media;630
Android T-Shirt;20;Paid Search;3244
Lanyard;6;Direct;2334
Google Stickers;5;Referral;2144
Google Stickers;5;Paid Search;2945
Puffer Vest;115;Direct;1873
Google Stickers;5;Organic Search;3485
Google Hoodie;124;Paid Search;1021
Google Stickers;5;Direct;300
Google Stickers;5;Referral;1632
Android T-Shirt;20;Paid Search;2781
Lanyard;6;Paid Search;936
Puffer Vest;115;Social Media;2745
Android T-Shirt;20;Referral;3202
Google Stickers;5;Organic Search;830
Puffer Vest;115;Organic Search;781
Google Hoodie;124;Organic Search;1075
Google Stickers;5;Direct;851
Google Hoodie;124;Social Media;2513
Android T-Shirt;20;Organic Search;1658
Google Hoodie;124;Social Media;397
Android T-Shirt;20;Organic Search;201
Google Stickers;5;Social Media;2486
Google Stickers;5;Direct;2034
Greeting Cards;6;Organic Search;1473
Backpack;125;Referral;2021
Google Stickers;5;Paid Search;3445
Google Stickers;5;Referral;2688
Google Stickers;5;Referral;1647
Google Hoodie;124;Direct;633
YouTube Cap;15;Direct;209
Google Stickers;5;Referral;1977
Google Stickers;5;Organic Search;1808
YouTube Cap;15;Social Media;1365
Google Hoodie;124;Referral;3559
Google Water Bottle;10;Referral;1139
Google Stickers;5;Paid Search;353
Google Hoodie;124;Direct;1752
Greeting Cards;6;Referral;1599
Google Stickers;5;Organic Search;3004
Greeting Cards;6;Organic Search;3421
Canvas Tote;18;Social Media;2556
Google Stickers;5;Organic Search;2895
Google Hoodie;124;Social Media;2479
Canvas Tote;18;Referral;1819
Google Water Bottle;10;Organic Search;64
Puffer Vest;115;Referral;1006
Google Stickers;5;Direct;3228
Notebook;20;Referral;773
Greeting Cards;6;Social Media;1493
Backpack;125;Paid Search;3509
Puffer Vest;115;Direct;895
Canvas Tote;18;Social Media;2297
Greeting Cards;6;Paid Search;2159
Google Hoodie;124;Direct;916
YouTube Cap;15;Referral;1940
Google Stickers;5;Paid Search;2126
YouTube Cap;15;Referral;1487
Google Hoodie;124;Direct;2237
Canvas Tote;18;Referral;1508
Google Hoodie;124;Referral;396
Google Stickers;5;Referral;2318
Google Stickers;5;Organic Search;2891
Google Stickers;5;Paid Search;1092
Canvas Tote;18;Paid Search;52
Google Hoodie;124;Referral;73
Google Stickers;5;Social Media;893
Greeting Cards;6;Social Media;1027
Google Stickers;5;Referral;2175
Lanyard;6;Paid Search;2126
Canvas Tote;18;Organic Search;687
Google Stickers;5;Direct;2079
Greeting Cards;6;Referral;2372
Google Stickers;5;Organic Search;1573
Android T-Shirt;20;Paid Search;1267
Backpack;125;Referral;2745
Lanyard;6;Paid Search;3105
Google Stickers;5;Direct;1183
Google Stickers;5;Referral;1184
Android T-Shirt;20;Direct;672
Google Stickers;5;Organic Search;3570
Google Hoodie;124;Paid Search;2984
Google Stickers;5;Organic Search;318
Google Hoodie;124;Organic Search;1272
Google Hoodie;124;Paid Search;3413
Google Hoodie;124;Direct;2656
Android T-Shirt;20;Referral;3334
Greeting Cards;6;Social Media;2583
Google Hoodie;124;Direct;3428
YouTube Cap;15;Paid Search;142
Google Stickers;5;Organic Search;73
Google Stickers;5;Social Media;2795
Puffer Vest;115;Social Media;1089
Greeting Cards;6;Referral;3227
Backpack;125;Organic Search;2280
Google Stickers;5;Direct;3442
Backpack;125;Social Media;536
Google Water Bottle;10;Organic Search;2483
Google Stickers;5;Referral;3024
Notebook;20;Referral;2720
Canvas Tote;18;Direct;3431
Google Hoodie;124;Direct;2565
Google Stickers;5;Organic Search;3153
Google Stickers;5;Paid Search;1752
Google Stickers;5;Paid Search;3501
Backpack;125;Organic Search;754
Android T-Shirt;20;Organic Search;1438
Google Stickers;5;Organic Search;1168
Backpack;125;Paid Search;2331
Puffer Vest;115;Social Media;3527
Google Stickers;5;Direct;3432
Google Stickers;5;Social Media;2924
Google Water Bottle;10;Direct;1017
Canvas Tote;18;Referral;1246
Google Stickers;5;Paid Search;346
Google Water Bottle;10;Organic Search;3519
Lanyard;6;Paid Search;2688
Google Water Bottle;10;Social Media;1902
Notebook;20;Paid Search;533
Lanyard;6;Paid Search;1090
Android T-Shirt;20;Organic Search;385
Google Hoodie;124;Direct;2830
Notebook;20;Paid Search;3502
Google Stickers;5;Direct;838
Google Stickers;5;Paid Search;3012
Greeting Cards;6;Social Media;647
Google Water Bottle;10;Direct;11
YouTube Cap;15;Organic Search;1086
Android T-Shirt;20;Organic Search;3209
YouTube Cap;15;Paid Search;1808
Lanyard;6;Direct;3440
Google Water Bottle;10;Organic Search;3221
Google Stickers;5;Social Media;719
Google Hoodie;124;Direct;2274
Google Hoodie;124;Organic Search;2188
Google Stickers;5;Organic Search;1584
Puffer Vest;115;Paid Search;3529
Canvas Tote;18;Referral;2833
Google Stickers;5;Direct;3204
Google Stickers;5;Referral;135
Google Water Bottle;10;Direct;3117
Lanyard;6;Paid Search;317
Google Stickers;5;Organic Search;1168
Google Stickers;5;Referral;1334
Google Stickers;5;Paid Search;1144
Lanyard;6;Paid Search;1179
Google Stickers;5;Direct;1916
Google Stickers;5;Direct;798
Google Stickers;5;Direct;696
Google Water Bottle;10;Referral;932
Google Hoodie;124;Social Media;641
Google Stickers;5;Paid Search;268
Google Stickers;5;Organic Search;442
Google Water Bottle;10;Direct;573
YouTube Cap;15;Referral;3370
Google Stickers;5;Organic Search;2891
Canvas Tote;18;Paid Search;1216
Google Stickers;5;Social Media;1731
Google Stickers;5;Referral;778
Puffer Vest;115;Paid Search;475
Greeting Cards;6;Social Media;2747
Google Water Bottle;10;Paid Search;132
Puffer Vest;115;Organic Search;3172
Lanyard;6;Referral;2852
Notebook;20;Social Media;3032
Google Water Bottle;10;Referral;1874
Google Hoodie;124;Organic Search;172
Google Stickers;5;Organic Search;1340
Google Hoodie;124;Social Media;2465
Canvas Tote;18;Organic Search;241
YouTube Cap;15;Social Media;1566
Google Stickers;5;Social Media;2300
Google Stickers;5;Referral;184
Google Stickers;5;Paid Search;1550
Google Stickers;5;Referral;1757
Greeting Cards;6;Direct;1760
Lanyard;6;Organic Search;478
Android T-Shirt;20;Direct;477
Google Stickers;5;Social Media;1737
YouTube Cap;15;Paid Search;2520
Notebook;20;Organic Search;775
Notebook;20;Social Media;2280
Google Stickers;5;Paid Search;2595
Notebook;20;Social Media;2140
Google Water Bottle;10;Organic Search;187
Google Water Bottle;10;Social Media;2901
Puffer Vest;115;Social Media;2767
Google Water Bottle;10;Organic Search;2728
Google Stickers;5;Direct;105
Google Stickers;5;Social Media;1401
Google Stickers;5;Direct;3004
Greeting Cards;6;Organic Search;539
Lanyard;6;Social Media;971
Google Stickers;5;Referral;3527
Greeting Cards;6;Social Media;3594
Lanyard;6;Organic Search;3266
Google Hoodie;124;Referral;1194
Google Stickers;5;Social Media;613
Google Stickers;5;Direct;429
Greeting Cards;6;Organic Search;1258
Google Hoodie;124;Social Media;2074
Lanyard;6;Paid Search;676
Canvas Tote;18;Direct;471
Google Water Bottle;10;Referral;3136
Google Stickers;5;Referral;3258
Google Stickers;5;Direct;1209
Puffer Vest;115;Direct;3209
Lanyard;6;Direct;480
Google Stickers;5;Referral;238
Google Stickers;5;Organic Search;2850
YouTube Cap;15;Direct;2175
Google Stickers;5;Paid Search;1336
Google Hoodie;124;Paid Search;3152
Lanyard;6;Organic Search;1499
Google Stickers;5;Organic Search;1177
Google Stickers;5;Referral;921
Google Stickers;5;Referral;810
Google Stickers;5;Direct;229
Google Stickers;5;Referral;3237
Lanyard;6;Referral;507
Google Water Bottle;10;Paid Search;438
Google Stickers;5;Social Media;2679
Canvas Tote;18;Organic Search;3428
Backpack;125;Referral;2098
Google Stickers;5;Referral;3582
Canvas Tote;18;Social Media;3013
Lanyard;6;Social Media;1940
Canvas Tote;18;Organic Search;2848
Canvas Tote;18;Organic Search;2347
Google Water Bottle;10;Referral;478
Google Stickers;5;Referral;1246
Google Stickers;5;Referral;896
Google Hoodie;124;Referral;2124
Google Stickers;5;Organic Search;1423
Android T-Shirt;20;Referral;336
Puffer Vest;115;Direct;2374
Lanyard;6;Social Media;2399
YouTube Cap;15;Direct;1292
Puffer Vest;115;Direct;106
Google Hoodie;124;Organic Search;1317
Google Stickers;5;Referral;174
Google Stickers;5;Referral;866
Google Stickers;5;Social Media;3310
Google Hoodie;124;Paid Search;1494
Notebook;20;Paid Search;1487
Google Stickers;5;Social Media;2020
Canvas Tote;18;Referral;2922
Google Stickers;5;Direct;1436
Greeting Cards;6;Social Media;1361
Google Stickers;5;Direct;1000
Canvas Tote;18;Social Media;2758
Google Stickers;5;Direct;2199
Google Hoodie;124;Social Media;2514
Canvas Tote;18;Organic Search;163
Google Stickers;5;Referral;706
Google Stickers;5;Social Media;3085
Google Stickers;5;Direct;867
Google Water Bottle;10;Paid Search;2520
YouTube Cap;15;Social Media;3222
Puffer Vest;115;Direct;2688
Google Stickers;5;Organic Search;151
Google Hoodie;124;Social Media;1886
Puffer Vest;115;Paid Search;1287
Google Hoodie;124;Organic Search;1741
Google Stickers;5;Direct;2577
Google Water Bottle;10;Social Media;99
Google Stickers;5;Direct;210
YouTube Cap;15;Referral;1
Puffer Vest;115;Organic Search;3204
Google Stickers;5;Direct;163
Android T-Shirt;20;Social Media;2364
YouTube Cap;15;Paid Search;471
Google Water Bottle;10;Paid Search;2072
Canvas Tote;18;Social Media;178
Puffer Vest;115;Paid Search;2402
Lanyard;6;Organic Search;3129
Google Stickers;5;Direct;2331
Google Stickers;5;Paid Search;3591
Greeting Cards;6;Referral;1760
Google Hoodie;124;Paid Search;3400
Google Water Bottle;10;Direct;3445
Google Hoodie;124;Social Media;746
Canvas Tote;18;Social Media;1840
Google Water Bottle;10;Organic Search;3340
Greeting Cards;6;Organic Search;2751
Android T-Shirt;20;Paid Search;1433
Google Stickers;5;Direct;2301
YouTube Cap;15;Direct;3190
Greeting Cards;6;Organic Search;1620
Google Stickers;5;Referral;3158
Notebook;20;Organic Search;1721
Google Hoodie;124;Paid Search;116
Google Stickers;5;Organic Search;1234
Google Water Bottle;10;Paid Search;73
Android T-Shirt;20;Paid Search;1874
Google Stickers;5;Direct;3156
YouTube Cap;15;Paid Search;790
Google Hoodie;124;Organic Search;2890
Google Stickers;5;Referral;1010
Google Hoodie;124;Direct;2236
Google Hoodie;124;Paid Search;1996
Greeting Cards;6;Paid Search;3009
Google Stickers;5;Social Media;38
Google Stickers;5;Paid Search;3493
Notebook;20;Paid Search;1539
Lanyard;6;Organic Search;3557
Greeting Cards;6;Direct;3294
Google Stickers;5;Paid Search;1143
YouTube Cap;15;Direct;2637
YouTube Cap;15;Referral;3578
Canvas Tote;18;Direct;1905
Google Hoodie;124;Direct;2391
Google Stickers;5;Paid Search;794
Google Stickers;5;Social Media;1415
YouTube Cap;15;Paid Search;3321
Notebook;20;Direct;577
Lanyard;6;Referral;1411
Puffer Vest;115;Social Media;1443
Google Stickers;5;Social Media;2584
Google Stickers;5;Direct;534
Google Stickers;5;Organic Search;1405
Google Stickers;5;Referral;139
Android T-Shirt;20;Referral;2430
Puffer Vest;115;Paid Search;242
Greeting Cards;6;Referral;3294
Lanyard;6;Paid Search;63
Backpack;125;Social Media;3295
Google Water Bottle;10;Referral;1420
Google Stickers;5;Referral;930
Puffer Vest;115;Referral;74
Google Stickers;5;Social Media;1779
Google Stickers;5;Organic Search;459
Notebook;20;Referral;2974
Backpack;125;Direct;3451
Google Water Bottle;10;Organic Search;2455
Android T-Shirt;20;Organic Search;327
Google Stickers;5;Organic Search;1320
Google Stickers;5;Organic Search;128
Google Hoodie;124;Social Media;1099
Google Hoodie;124;Paid Search;3204
Google Water Bottle;10;Referral;765
Google Stickers;5;Referral;1388
Google Stickers;5;Direct;134
Google Water Bottle;10;Paid Search;2333
Google Stickers;5;Paid Search;943
Backpack;125;Organic Search;676
Notebook;20;Organic Search;2261
Google Stickers;5;Referral;3113
Backpack;125;Social Media;1395
Greeting Cards;6;Social Media;1792
Google Stickers;5;Referral;3384
Google Stickers;5;Direct;3229
Google Stickers;5;Paid Search;3466
Google Hoodie;124;Referral;3076
Lanyard;6;Social Media;1815
Backpack;125;Referral;870
Google Hoodie;124;Referral;3249
Google Water Bottle;10;Organic Search;2543
Backpack;125;Referral;3098
Backpack;125;Direct;2365
Greeting Cards;6;Social Media;2655
Google Stickers;5;Direct;1213
Notebook;20;Referral;41
Notebook;20;Social Media;467
Google Stickers;5;Organic Search;1202
Google Hoodie;124;Paid Search;2255
Notebook;20;Paid Search;2688
Greeting Cards;6;Organic Search;392
Notebook;20;Paid Search;2816
Google Stickers;5;Social Media;846
Canvas Tote;18;Organic Search;2895
Backpack;125;Paid Search;240
Google Stickers;5;Referral;2246
Canvas Tote;18;Direct;534
Backpack;125;Paid Search;626
Google Stickers;5;Paid Search;256
Google Water Bottle;10;Paid Search;2187
Backpack;125;Direct;890
Canvas Tote;18;Social Media;2938
Google Hoodie;124;Referral;3593
Google Stickers;5;Organic Search;2463
Google Stickers;5;Social Media;2612
Google Hoodie;124;Social Media;161
Android T-Shirt;20;Direct;2318
Google Stickers;5;Referral;1593
Google Stickers;5;Organic Search;3486
Google Hoodie;124;Paid Search;1235
Google Stickers;5;Social Media;657
Puffer Vest;115;Organic Search;3509
Notebook;20;Organic Search;3537
Lanyard;6;Paid Search;2288
Canvas Tote;18;Referral;228
YouTube Cap;15;Social Media;1153
Lanyard;6;Direct;3254
Google Hoodie;124;Social Media;1794
YouTube Cap;15;Social Media;1944
Google Hoodie;124;Social Media;1178
Google Stickers;5;Direct;385
Greeting Cards;6;Organic Search;1623
Canvas Tote;18;Social Media;3493
Canvas Tote;18;Direct;3143
Google Stickers;5;Direct;2153
Google Hoodie;124;Referral;3361
Google Stickers;5;Organic Search;330
Google Water Bottle;10;Organic Search;1624
Backpack;125;Paid Search;3522
Google Stickers;5;Organic Search;3009
Lanyard;6;Paid Search;1741
Google Hoodie;124;Referral;1673
Google Stickers;5;Direct;1319
Backpack;125;Social Media;1212
Backpack;125;Direct;1374
Google Hoodie;124;Organic Search;1362
YouTube Cap;15;Organic Search;1807
Google Water Bottle;10;Direct;3314
Google Stickers;5;Direct;2556
Google Stickers;5;Social Media;2787
Google Stickers;5;Social Media;951
Canvas Tote;18;Referral;1390
Google Stickers;5;Referral;2885
Google Stickers;5;Referral;1815
Backpack;125;Paid Search;2945
Google Stickers;5;Social Media;1333
Puffer Vest;115;Referral;2749
Google Stickers;5;Direct;2558
Google Hoodie;124;Social Media;2165
YouTube Cap;15;Direct;163
Google Stickers;5;Direct;2285
Google Stickers;5;Paid Search;192
Google Hoodie;124;Direct;67
Google Stickers;5;Direct;3008
Canvas Tote;18;Social Media;1415
Google Water Bottle;10;Organic Search;3193
Google Stickers;5;Direct;3268
Google Water Bottle;10;Social Media;790
Google Stickers;5;Direct;1461
Google Stickers;5;Social Media;2367
Lanyard;6;Paid Search;1232
Google Stickers;5;Direct;1573
Greeting Cards;6;Social Media;43
Greeting Cards;6;Paid Search;517
Google Water Bottle;10;Organic Search;301
Google Hoodie;124;Social Media;1680
Google Hoodie;124;Social Media;3497
Google Stickers;5;Paid Search;1636
YouTube Cap;15;Organic Search;3375
Google Hoodie;124;Social Media;1805
Greeting Cards;6;Organic Search;2837
Google Stickers;5;Direct;1786
Google Stickers;5;Paid Search;3147
Google Stickers;5;Organic Search;799
Google Stickers;5;Paid Search;2444
Lanyard;6;Direct;1748
Notebook;20;Organic Search;1803
YouTube Cap;15;Paid Search;174
Greeting Cards;6;Social Media;3447
Notebook;20;Paid Search;739
YouTube Cap;15;Paid Search;2766
Google Stickers;5;Referral;2901
Android T-Shirt;20;Referral;2810
Puffer Vest;115;Organic Search;3591
Greeting Cards;6;Direct;3034
Google Stickers;5;Organic Search;2935
Notebook;20;Paid Search;2628
Puffer Vest;115;Social Media;478
Google Hoodie;124;Social Media;2999
Google Stickers;5;Referral;544
Notebook;20;Paid Search;2841
Backpack;125;Organic Search;2751
Google Stickers;5;Social Media;482
Google Stickers;5;Referral;2950
Google Stickers;5;Paid Search;2859
Google Stickers;5;Direct;2056
Google Stickers;5;Social Media;1229
Google Stickers;5;Social Media;3158
Greeting Cards;6;Referral;1503
Notebook;20;Paid Search;2985
Google Stickers;5;Referral;1487
Google Stickers;5;Referral;3445
Lanyard;6;Organic Search;2472
Google Hoodie;124;Social Media;2272
Puffer Vest;115;Organic Search;1366
YouTube Cap;15;Organic Search;1331
Google Hoodie;124;Social Media;2941
Google Stickers;5;Referral;864
Canvas Tote;18;Social Media;151
Notebook;20;Direct;1732
Lanyard;6;Referral;2486
Greeting Cards;6;Organic Search;1858
YouTube Cap;15;Direct;3418
Google Hoodie;124;Organic Search;3435
YouTube Cap;15;Organic Search;1788
Puffer Vest;115;Referral;1279
Google Stickers;5;Referral;2382
Lanyard;6;Paid Search;2018
Canvas Tote;18;Organic Search;2517
YouTube Cap;15;Direct;2294
Google Stickers;5;Referral;2312
Google Water Bottle;10;Paid Search;2804
Google Water Bottle;10;Referral;992
Canvas Tote;18;Social Media;2804
Google Stickers;5;Paid Search;355
Google Stickers;5;Referral;963
Backpack;125;Referral;590
Google Stickers;5;Social Media;313
Google Hoodie;124;Referral;626
Google Hoodie;124;Referral;1320
Android T-Shirt;20;Social Media;2010
Canvas Tote;18;Referral;2611
YouTube Cap;15;Social Media;3269
Google Water Bottle;10;Direct;399
Google Stickers;5;Referral;1493
Lanyard;6;Social Media;2750
Google Stickers;5;Paid Search;1845
Lanyard;6;Direct;1279
Lanyard;6;Paid Search;1365
Google Water Bottle;10;Organic Search;2898
Google Stickers;5;Social Media;3280
Google Hoodie;124;Social Media;1734
Puffer Vest;115;Social Media;972
Android T-Shirt;20;Paid Search;3502
Google Stickers;5;Direct;1748
Lanyard;6;Organic Search;942
Greeting Cards;6;Direct;1727
Puffer Vest;115;Organic Search;657
Lanyard;6;Referral;416
Notebook;20;Direct;2768
Lanyard;6;Organic Search;1344
Google Water Bottle;10;Organic Search;2334
Notebook;20;Social Media;1941
Google Stickers;5;Organic Search;2871
Android T-Shirt;20;Referral;1996
Google Hoodie;124;Organic Search;648
Canvas Tote;18;Organic Search;130
YouTube Cap;15;Direct;1819
Canvas Tote;18;Social Media;64
Lanyard;6;Social Media;2129
Google Hoodie;124;Paid Search;820
Google Stickers;5;Paid Search;69
Google Stickers;5;Organic Search;2887
Backpack;125;Social Media;581
Puffer Vest;115;Social Media;106
Android T-Shirt;20;Social Media;1137
Notebook;20;Paid Search;261
Google Stickers;5;Organic Search;871
Google Water Bottle;10;Paid Search;2745
Greeting Cards;6;Social Media;2006
Notebook;20;Organic Search;3147
Notebook;20;Paid Search;996
Google Stickers;5;Social Media;1523
Backpack;125;Direct;1598
Google Stickers;5;Social Media;242
Google Stickers;5;Organic Search;2134
Google Stickers;5;Social Media;1374
Google Hoodie;124;Referral;1990
Lanyard;6;Paid Search;3497
Canvas Tote;18;Paid Search;1540
Google Stickers;5;Paid Search;1901
Puffer Vest;115;Referral;330
Lanyard;6;Social Media;705
Google Stickers;5;Direct;3233
Google Stickers;5;Paid Search;2536
Puffer Vest;115;Organic Search;1284
Google Stickers;5;Paid Search;460
Google Stickers;5;Paid Search;1620
Canvas Tote;18;Social Media;523
Notebook;20;Organic Search;999
Google Stickers;5;Social Media;2079
YouTube Cap;15;Referral;2960
Google Hoodie;124;Direct;687
Backpack;125;Organic Search;383
Backpack;125;Referral;2848
Google Hoodie;124;Paid Search;2287
Lanyard;6;Paid Search;497
Google Water Bottle;10;Referral;1859
Google Hoodie;124;Referral;2688
YouTube Cap;15;Referral;3034
Greeting Cards;6;Referral;1415
Notebook;20;Direct;2841
Google Hoodie;124;Direct;472
Google Stickers;5;Direct;3015
Android T-Shirt;20;Referral;65
Notebook;20;Paid Search;2879
Lanyard;6;Paid Search;3190
Backpack;125;Organic Search;294
Greeting Cards;6;Direct;2898
Google Stickers;5;Direct;2430
Backpack;125;Paid Search;1008
Google Stickers;5;Organic Search;365
Canvas Tote;18;Organic Search;95
Greeting Cards;6;Social Media;2514
YouTube Cap;15;Social Media;2814
Android T-Shirt;20;Social Media;3095
Greeting Cards;6;Organic Search;749
Google Hoodie;124;Referral;961
Greeting Cards;6;Referral;1071
Google Stickers;5;Organic Search;1194
Canvas Tote;18;Organic Search;3470
Google Stickers;5;Referral;370
Android T-Shirt;20;Referral;3464
Google Stickers;5;Referral;1734
Canvas Tote;18;Paid Search;2123
Android T-Shirt;20;Organic Search;3294
Google Hoodie;124;Paid Search;1308
Backpack;125;Social Media;2479
Google Hoodie;124;Social Media;534
Lanyard;6;Social Media;1818
Android T-Shirt;20;Organic Search;221
Greeting Cards;6;Organic Search;1782
Backpack;125;Referral;223
Google Hoodie;124;Social Media;3329
Android T-Shirt;20;Direct;2591
Lanyard;6;Paid Search;1867
Puffer Vest;115;Paid Search;1245
Puffer Vest;115;Paid Search;119
Canvas Tote;18;Paid Search;2179
Android T-Shirt;20;Referral;3447
Google Stickers;5;Direct;2971
Greeting Cards;6;Referral;3443
Google Stickers;5;Direct;1714
Google Stickers;5;Referral;676
Android T-Shirt;20;Referral;568
Google Stickers;5;Social Media;1292
Backpack;125;Direct;2678
Google Hoodie;124;Social Media;3426
Canvas Tote;18;Social Media;1000
Notebook;20;Paid Search;2860
Google Stickers;5;Organic Search;1658
Greeting Cards;6;Paid Search;2954
Google Hoodie;124;Direct;1509
Backpack;125;Direct;2791
YouTube Cap;15;Social Media;2562
Android T-Shirt;20;Direct;256
Google Stickers;5;Social Media;2405
Google Stickers;5;Social Media;2860
Lanyard;6;Organic Search;2434
Android T-Shirt;20;Social Media;1235
Google Stickers;5;Organic Search;1142
Notebook;20;Referral;1086
Google Stickers;5;Social Media;482
Puffer Vest;115;Direct;1097
Android T-Shirt;20;Paid Search;1678
Google Water Bottle;10;Direct;3117
Google Stickers;5;Social Media;2064
YouTube Cap;15;Social Media;2904
Puffer Vest;115;Referral;343
Google Water Bottle;10;Social Media;2461
Google Stickers;5;Direct;1685
YouTube Cap;15;Direct;1733
Google Stickers;5;Social Media;3549
Notebook;20;Paid Search;1641
Google Water Bottle;10;Referral;1250
Android T-Shirt;20;Social Media;3275
YouTube Cap;15;Referral;1731
Notebook;20;Organic Search;2610
Canvas Tote;18;Social Media;2764
Google Hoodie;124;Paid Search;64
Google Stickers;5;Social Media;260
Puffer Vest;115;Direct;2907
Lanyard;6;Organic Search;2110
Google Stickers;5;Direct;1177
Google Hoodie;124;Paid Search;1240
Google Stickers;5;Paid Search;1126
Google Hoodie;124;Social Media;2926
Google Stickers;5;Referral;2589
Lanyard;6;Direct;1538
Google Stickers;5;Referral;2556
Lanyard;6;Paid Search;517
Backpack;125;Paid Search;1028
Android T-Shirt;20;Organic Search;2630
Google Stickers;5;Referral;1776
Backpack;125;Direct;1866
Google Water Bottle;10;Direct;3432
YouTube Cap;15;Referral;238
Google Stickers;5;Referral;871
Google Stickers;5;Direct;240
Greeting Cards;6;Referral;2681
Google Stickers;5;Referral;1872
Notebook;20;Direct;2205
Puffer Vest;115;Direct;921
Notebook;20;Paid Search;2417
